timestamp,index,temperature.gpu,power.draw,utilization.gpu,memory.used,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/19 18:56:03.493, 0, 73, 44.91, 0, 10469, 1189, 715, P0, 0x0000000000000000
2026/09/19 18:56:03.497, 1, 73, 53.83, 0, 10693, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:04.518, 0, 73, 76.14, 0, 10625, 1189, 715, P0, 0x0000000000000000
2026/09/19 18:56:04.521, 1, 73, 127.60, 1, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:05.531, 0, 75, 110.86, 67, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:05.534, 1, 75, 148.01, 79, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:06.543, 0, 76, 146.54, 67, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:06.548, 1, 76, 142.23, 89, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:07.557, 0, 76, 136.18, 68, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:07.561, 1, 76, 149.75, 86, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:08.567, 0, 76, 108.04, 69, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:08.570, 1, 76, 128.64, 87, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:09.579, 0, 77, 98.65, 59, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:09.582, 1, 76, 138.79, 90, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:10.593, 0, 77, 114.69, 64, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:10.597, 1, 77, 135.56, 87, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:11.601, 0, 77, 135.15, 66, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:11.604, 1, 77, 168.30, 89, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:12.612, 0, 77, 117.31, 67, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:12.616, 1, 77, 137.88, 87, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:13.622, 0, 77, 129.84, 73, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:13.625, 1, 77, 147.94, 87, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:14.634, 0, 78, 137.57, 71, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:14.638, 1, 77, 97.19, 91, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:15.646, 0, 78, 120.28, 69, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:15.649, 1, 77, 120.12, 87, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:16.657, 0, 78, 131.38, 68, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:16.660, 1, 77, 117.40, 86, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:17.668, 0, 78, 129.45, 67, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:17.671, 1, 78, 119.09, 92, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:18.684, 0, 78, 137.86, 65, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:18.687, 1, 78, 105.39, 95, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:19.694, 0, 78, 146.26, 72, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:19.697, 1, 78, 151.37, 87, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:20.709, 0, 79, 105.15, 71, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:20.714, 1, 78, 137.37, 91, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:21.720, 0, 79, 149.74, 71, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:21.724, 1, 78, 103.01, 87, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:22.734, 0, 79, 146.72, 68, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:22.737, 1, 78, 149.93, 91, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:23.745, 0, 79, 129.75, 61, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:23.748, 1, 78, 124.85, 86, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:24.756, 0, 79, 115.41, 69, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:24.761, 1, 78, 148.07, 91, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:25.766, 0, 79, 123.02, 76, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:25.769, 1, 79, 154.20, 87, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:26.779, 0, 79, 134.09, 68, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:26.782, 1, 78, 161.93, 90, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:27.790, 0, 79, 153.04, 70, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:27.793, 1, 79, 144.78, 95, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:28.806, 0, 79, 126.06, 72, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:28.811, 1, 79, 120.98, 87, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:29.819, 0, 79, 144.41, 71, 10625, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:29.822, 1, 79, 134.52, 91, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:30.829, 0, 78, 89.57, 74, 10625, 1164, 715, P0, 0x0000000000000020
2026/09/19 18:56:30.832, 1, 79, 137.43, 89, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:31.841, 0, 78, 99.24, 62, 10625, 1278, 715, P0, 0x0000000000000000
2026/09/19 18:56:31.844, 1, 79, 151.46, 86, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:32.854, 0, 79, 124.09, 69, 10625, 1252, 715, P0, 0x0000000000000020
2026/09/19 18:56:32.857, 1, 79, 150.10, 90, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:33.866, 0, 79, 107.83, 74, 10625, 1202, 715, P0, 0x0000000000000000
2026/09/19 18:56:33.870, 1, 79, 146.15, 83, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:34.893, 0, 79, 121.79, 73, 10625, 1240, 715, P0, 0x0000000000000000
2026/09/19 18:56:34.896, 1, 79, 160.29, 88, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:35.913, 0, 79, 118.78, 76, 10625, 1265, 715, P0, 0x0000000000000000
2026/09/19 18:56:35.916, 1, 79, 141.19, 88, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:36.923, 0, 79, 146.09, 74, 10625, 1303, 715, P0, 0x0000000000000000
2026/09/19 18:56:36.926, 1, 79, 101.07, 92, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:37.939, 0, 79, 88.15, 69, 10625, 1240, 715, P0, 0x0000000000000000
2026/09/19 18:56:37.942, 1, 79, 137.10, 93, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:38.949, 0, 79, 93.28, 80, 10625, 1240, 715, P0, 0x0000000000000000
2026/09/19 18:56:38.952, 1, 79, 119.23, 87, 10849, 1290, 715, P0, 0x0000000000000000
2026/09/19 18:56:39.961, 0, 79, 110.97, 73, 10625, 1265, 715, P0, 0x0000000000000000
2026/09/19 18:56:39.965, 1, 79, 108.77, 89, 10849, 1316, 715, P0, 0x0000000000000000
2026/09/19 18:56:40.974, 0, 79, 110.73, 78, 10625, 1202, 715, P0, 0x0000000000000000
2026/09/19 18:56:40.977, 1, 79, 134.98, 85, 10849, 1328, 715, P0, 0x0000000000000000
2026/09/19 18:56:41.989, 0, 79, 113.71, 67, 10625, 1240, 715, P0, 0x0000000000000000
2026/09/19 18:56:41.992, 1, 79, 109.45, 92, 10849, 1189, 715, P0, 0x0000000000000000
2026/09/19 18:56:43.004, 0, 79, 67.54, 66, 10625, 1240, 715, P0, 0x0000000000000000
2026/09/19 18:56:43.007, 1, 79, 84.64, 91, 10849, 1189, 715, P0, 0x0000000000000000
2026/09/19 18:56:44.015, 0, 79, 109.85, 72, 10625, 1227, 715, P0, 0x0000000000000020
2026/09/19 18:56:44.021, 1, 79, 120.55, 91, 10849, 1202, 715, P0, 0x0000000000000020
2026/09/19 18:56:45.031, 0, 79, 141.01, 79, 10625, 1278, 715, P0, 0x0000000000000020
2026/09/19 18:56:45.037, 1, 79, 121.40, 91, 10849, 1227, 715, P0, 0x0000000000000020
2026/09/19 18:56:46.044, 0, 79, 92.67, 76, 10625, 1227, 715, P0, 0x0000000000000000
2026/09/19 18:56:46.048, 1, 79, 109.48, 96, 10849, 1189, 715, P0, 0x0000000000000000
2026/09/19 18:56:47.057, 0, 79, 111.73, 70, 10625, 1240, 715, P0, 0x0000000000000000
2026/09/19 18:56:47.060, 1, 79, 112.45, 93, 10849, 1202, 715, P0, 0x0000000000000000
2026/09/19 18:56:48.072, 0, 79, 89.49, 80, 10625, 1240, 715, P0, 0x0000000000000000
2026/09/19 18:56:48.076, 1, 79, 103.05, 90, 10849, 1202, 715, P0, 0x0000000000000000
2026/09/19 18:56:49.091, 0, 79, 134.90, 67, 10625, 1202, 715, P0, 0x0000000000000020
2026/09/19 18:56:49.101, 1, 79, 121.67, 91, 10849, 1202, 715, P0, 0x0000000000000020
2026/09/19 18:56:50.118, 0, 79, 104.58, 75, 10625, 1278, 715, P0, 0x0000000000000020
2026/09/19 18:56:50.122, 1, 79, 132.50, 90, 10849, 1290, 715, P0, 0x0000000000000000
2026/09/19 18:56:51.129, 0, 79, 88.83, 77, 10625, 1265, 715, P0, 0x0000000000000000
2026/09/19 18:56:51.132, 1, 79, 105.12, 95, 10849, 1252, 715, P0, 0x0000000000000000
2026/09/19 18:56:52.145, 0, 79, 126.35, 68, 10625, 1202, 715, P0, 0x0000000000000020
2026/09/19 18:56:52.150, 1, 79, 125.27, 89, 10849, 1202, 715, P0, 0x0000000000000020
2026/09/19 18:56:53.175, 0, 79, 102.61, 81, 10625, 1215, 715, P0, 0x0000000000000000
2026/09/19 18:56:53.178, 1, 79, 92.02, 90, 10849, 1227, 715, P0, 0x0000000000000000
2026/09/19 18:56:54.188, 0, 79, 99.54, 74, 10625, 1215, 715, P0, 0x0000000000000000
2026/09/19 18:56:54.191, 1, 79, 94.62, 93, 10849, 1227, 715, P0, 0x0000000000000000
2026/09/19 18:56:55.198, 0, 79, 130.09, 71, 10625, 1227, 715, P0, 0x0000000000000020
2026/09/19 18:56:55.203, 1, 79, 129.22, 84, 10849, 1227, 715, P0, 0x0000000000000020
2026/09/19 18:56:56.225, 0, 79, 94.32, 78, 10625, 1202, 715, P0, 0x0000000000000000
2026/09/19 18:56:56.230, 1, 79, 120.34, 94, 10849, 1227, 715, P0, 0x0000000000000000
2026/09/19 18:56:57.235, 0, 80, 98.01, 64, 10625, 1063, 715, P0, 0x0000000000000020
2026/09/19 18:56:57.238, 1, 79, 95.53, 85, 10849, 1227, 715, P0, 0x0000000000000000
2026/09/19 18:56:58.248, 0, 79, 118.29, 80, 10625, 1177, 715, P0, 0x0000000000000020
2026/09/19 18:56:58.254, 1, 79, 99.25, 90, 10849, 1290, 715, P0, 0x0000000000000020
2026/09/19 18:56:59.261, 0, 79, 85.68, 73, 10625, 1063, 715, P0, 0x0000000000000000
2026/09/19 18:56:59.263, 1, 79, 110.06, 87, 10849, 1227, 715, P0, 0x0000000000000000
2026/09/19 18:57:00.276, 0, 79, 95.36, 78, 10625, 1177, 715, P0, 0x0000000000000000
2026/09/19 18:57:00.278, 1, 79, 119.22, 87, 10849, 1227, 715, P0, 0x0000000000000000
2026/09/19 18:57:01.288, 0, 79, 119.24, 73, 10625, 1139, 715, P0, 0x0000000000000020
2026/09/19 18:57:01.301, 1, 79, 128.64, 85, 10849, 1227, 715, P0, 0x0000000000000020
2026/09/19 18:57:02.319, 0, 79, 99.95, 84, 10625, 1113, 715, P0, 0x0000000000000020
2026/09/19 18:57:02.322, 1, 79, 84.13, 89, 10849, 1227, 715, P0, 0x0000000000000000
2026/09/19 18:57:03.330, 0, 79, 99.80, 70, 10625, 1177, 715, P0, 0x0000000000000020
2026/09/19 18:57:03.333, 1, 79, 123.49, 84, 10849, 1252, 715, P0, 0x0000000000000020
2026/09/19 18:57:04.343, 0, 79, 86.12, 81, 10625, 1151, 715, P0, 0x0000000000000000
2026/09/19 18:57:04.347, 1, 79, 107.82, 90, 10849, 1252, 715, P0, 0x0000000000000020
2026/09/19 18:57:05.357, 0, 79, 112.44, 79, 10625, 1113, 715, P0, 0x0000000000000020
2026/09/19 18:57:05.364, 1, 79, 79.78, 83, 10849, 1265, 715, P0, 0x0000000000000000
2026/09/19 18:57:06.369, 0, 79, 105.74, 67, 10625, 1101, 715, P0, 0x0000000000000020
2026/09/19 18:57:06.373, 1, 79, 124.21, 90, 10849, 1227, 715, P0, 0x0000000000000020
2026/09/19 18:57:07.383, 0, 79, 106.19, 86, 10625, 1189, 715, P0, 0x0000000000000000
2026/09/19 18:57:07.386, 1, 79, 135.87, 91, 10849, 1265, 715, P0, 0x0000000000000020
2026/09/19 18:57:08.393, 0, 79, 106.46, 74, 10625, 1189, 715, P0, 0x0000000000000000
2026/09/19 18:57:08.396, 1, 79, 130.80, 84, 10849, 1290, 715, P0, 0x0000000000000000
2026/09/19 18:57:09.407, 0, 79, 82.53, 73, 10625, 1189, 715, P0, 0x0000000000000000
2026/09/19 18:57:09.410, 1, 79, 112.18, 94, 10849, 1227, 715, P0, 0x0000000000000000
2026/09/19 18:57:10.416, 0, 79, 108.86, 81, 10625, 1189, 715, P0, 0x0000000000000000
2026/09/19 18:57:10.419, 1, 79, 92.43, 91, 10849, 1316, 715, P0, 0x0000000000000020
2026/09/19 18:57:11.434, 0, 79, 117.57, 71, 10625, 1151, 715, P0, 0x0000000000000020
2026/09/19 18:57:11.440, 1, 79, 129.82, 88, 10849, 1215, 715, P0, 0x0000000000000020
2026/09/19 18:57:12.447, 0, 79, 120.26, 75, 10625, 1189, 715, P0, 0x0000000000000000
2026/09/19 18:57:12.450, 1, 79, 94.69, 94, 10849, 1227, 715, P0, 0x0000000000000000
2026/09/19 18:57:13.460, 0, 79, 96.11, 83, 10625, 1113, 715, P0, 0x0000000000000020
2026/09/19 18:57:13.463, 1, 79, 99.33, 91, 10849, 1265, 715, P0, 0x0000000000000000
2026/09/19 18:57:14.467, 0, 79, 114.23, 79, 10625, 1189, 715, P0, 0x0000000000000000
2026/09/19 18:57:14.470, 1, 79, 128.16, 84, 10849, 1252, 715, P0, 0x0000000000000020
2026/09/19 18:57:15.478, 0, 79, 101.21, 69, 10625, 1126, 715, P0, 0x0000000000000000
